index	dev_index	question1	cues	question2	cues	judgment	is_important	
35	31578	Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?		Is 2000 rupee note really not going to come with chip?	not [5]	1	No
36	11874	I've been snowboarding for a few years now, and have good control of the board, but I can't seem to get over the fear of speed. Any advice as to how to get over it?	n't [21]	Why have rocker (reverse camber) snowboards become prevalent just in the last few years?		0	No
37	13270	Why isn't Hillary Clinton in jail?	n't [2]	Why isn't Hillary Clinton in jail yet? Obviously, she is guilty of crimes, so why then isn't she in jail?	n't [2] | n't [21]	1	No
38	34427	What are some unusual ways to flirt with a girl?	unusual [3]	What are the ways to flirt with a girl?		1	No
39	36215	Are the jews the only villians pretending to be victims?		Metaphysics: Are we the environment pretending to not be the environment?	not [8]	0	No
40	35654	Are Yamaha ATV's available in India. If not can they be expected in the near future?		Is it really that simple to make India cash less in the near future?	cash [8] | less [9]	0	No
41	28520	What should I do if Instagram is asking me for a security code and they didn't send me any text messages?	n't [16]	How do I get Instagram to stop asking me for my security code.?		0	No
42	29575	Are there any ways I can get a list of members of a Facebook Public Group, which I am not the admin of?	not [20]	Is there any way on WhatsApp by which I can add someone permanently in my group with me as group admin?		0	No
43	23774	How do I view protected tweets without following the person on Twitter?	without [6]	Is there any way to view protected tweets?		0	No
44	17869	How should one respond when someone asks you ""How are you doing?"" at the start of the conversation?		How do you respond when someone asks about a scar you don't want to discuss?	n't [12]	0	No
45	30482	Are there hedge funds in India?		Why aren't there hedge funds in India?	n't [2]	0	No
46	19008	What is about you has stopped you succeeding in life?		What should you do if you never succeed in life?	never [6]	0	No
47	9313	Why is a synchronous motor not self-starting?	not [5]	How is a synchronous motor started?		0	No
48	37364	What are some reasons you should not vote for AAP?	not [6]	Will you vote for AAP? Why?		0	No
49	22975	Should the Nepalese army throw away their guns and start running beauty parlors?		Is Nepal’s army powerless when compared to present world scenario?	powerless [4]	0	No
50	10772	How does Notifications work on Netflix?		Why are Spotify and Netflix not yet available in India?	not [5]	0	No
51	31168	What should I do if my boyfriend would rather be on his phone than spend quality time with me?		What can I do my boyfriend flirts with other women on his phone and don't have time for me?	n't [15]	1	No
52	39646	How easy is it for someone to learn Java programming with no prior knowledge of programming?	no [11]	Is Java easy to learn for a beginner?		1	No
53	36688	How powerful is commenting on other account's Instagram pictures in gaining followers?		How can you look at someone's private Instagram account without following them?	without [10]	0	No
54	30922	Why do I have to ""eject"" a USB hard drive on my new Mac, but never on Windows?	never [21]	Do today’s USB hard drives need to be unmounted/ejected before they are removed from the USB port?		0	No
55	15852	I am in a bad engineering college and also can't drop out. What options do I have?	n't [10]	How can I start for a startup?		0	No
56	28427	What is the most undeniable proof of alien existence?	undeniable [4]	Is there any proof or evidence of alien / extraterrestrial life existence?		1	No
57	6274	My mom won't let me get a pixie cut. How do I convince her?	n't [3]	How do I convince my parent to let me get a pixie cut?		1	No
58	15050	What is the shape of market demand curve? It is not linear.. Bt then also we call it a linear why?	not [11]	18 in a couple of months, I am soon eligible to get money from AdSense, but I made a account under a fake age, what should I do?		0	No
59	31615	How does it feel to know that you have topped the IAS exam?		How do I keep myself motivated to crack the world's second most tough exam, the IAS, when others feel that I don't have that in me?	n't [25]	0	No
60	34807	A is three times more efficient than B. If they complete a work in 30 days, then find the times required by each to complete the work individually?		Would it not be more fuel and time efficient for an air vehicle to rise vertically, and descend after 12 hrs (travelling only along longitudes if necessary), by which time the Earth would have completed half a rotation?	not [2]	0	No
61	12557	Will Apple Music delete the songs I get during my free trial if I decide against buying the full version when the trial runs out?		Is the music being added to your iTunes library during the 3 month trial free? Will it be charged later? And if not will it still be in your library if you unsubscribe before trial ends?	not [24]	0	No
62	1045	What is the best place to work for among the following Indian start-ups/companies and why?		I want to know which place is best for an Indian to work having degree but no experience?	no [16]	0	No
63	12670	How do I get free or cheap Instagram followers fast without bots?	without [10]	How do I get free Instagram followers fast?		0	Yes
64	29331	I cant download the stuff in my new phone Lenovo vibe k5 plus by Jio 4G.nd if its starts downloading the tye speed will be in bytes?	nt [2]	Is there a way of tracing where a photo (now a meme) was taken?		0	No
65	18677	Is there a company (non-governmental) that provides accommodation to its junior or middle management employees in Mumbai?	non [5] | - [6]	Is it possible to find a company in the US that would be willing to provide a work visa for junior level employee?		0	No
66	18233	Is it possible to recall a sent (or unread) WhatsApp message?	unread [9]	WhatsApp: Can I cancel a message sent on whatsapp?		0	No
67	11566	I have an interview in Telecom in 5 days. Where can I find a good free online course on the basics of 2g,3g,4g?		Is it a sin if you're a Christian and don't vote?	n't [11]	0	No
68	9077	How do I know am not been cheated on by my partner in a relationship?	not [5]	How do I know my partner is in another relationship?		1	No
69	8271	What are the most historically unrealistic features in Total War battles?	unrealistic [5]	Why were casualties in historic battles usually lower than in total war games?		0	No
70	9265	How do I access the Belkin router website?		What should I do if I can't access my Belkin router homepage?	n't [7]	0	No
71	36852	If he says to me ""I don't care what you do, just make sure I don't catch you and wear a condom"" supposed to mean?	n't [10] | n't [21]	If you ask a friend how they are after ending his affair with a married woman and he says, ""I don't want to talk about it"" what does this mean?	n't [25]	0	No
72	33099	How do I come up with Android App ideas?		What might have been the natural evolution of Africa has not been colonized?	not [10]	0	No
73	11555	How do I make a virtual pro on FIFA 16? And how do you play as the pro(be a pro).		How can I install a real Linux distro (not a virtual one) on a MacBook Pro?	not [9]	0	No
74	10287	How much time does a waiter spend in taking orders?		Is it worth my time or a good idea to take a GRE test without preparation in order to see how much progress I need to make?	without [14]	0	No
75	9376	Why did allama Iqbal not win a Nobel prize?	not [4]	Why are women usually so finicky and complicated regarding sex?		0	No
76	615	How are Telugu and Tamil languages related?		Why there is no relation between Telugu and Tamil?	no [3]	0	No
77	33875	Can something that is infinite have a beginning?		Can something have an ending without a beginning?	without [5]	0	No
78	34144	Why did you not choose Bernie Sanders as your running mate?	not [3]	If you win the Democratic nomination, would you choose Bernie Sanders as your running mate?		0	No
79	8530	I woke up with my right side of my body feeling numb. I don't have any health issues. Should I be worried?	n't [15]	I need to pee right after waking up and I feel really cold. Why is this?		0	No
80	26640	Why we are sleeping at night?		Why don't I get sleep at nights?	n't [2]	0	No
81	10119	Is it dangerous/unprofessional to wear basketball shorts while working in a retail setting?	unprofessional [4]	Do Pakistan women wear Shorts while sports?		0	No
82	38497	Why were US carriers absent from Pearl Harbor on December 7, 1941, yet all the older, slower battleships were still there?		What would have happened if the Japanese had not attacked Pearl Harbor? Would the U.S. have still gotten into the war with Germany?	not [8]	0	No
83	9051	How would be our life without internet?	without [5]	How the life would be beyond internet?		0	No
84	9172	Why does $500 trillion rich Rothschilds are not on Forbes richest people list?	not [8]	How accurate is the Forbes wealth list?		0	No
85	33395	If maturity is important in relationships, why do so many couples act like children by flirting and cracking jokes?		What is ""Compatibility"" and why is it so important for success in a relationship? And can a not so compatible couple be happy together?	not [23]	0	No
86	39946	Turbo C++ vs visual studio vs code blocks for beginner?		Why does Turbo C++ code not run in Code::Blocks?	not [5]	0	No
87	9069	What is the ending of Game of Thrones?		What is the Game of Thrones?What is it about? I am confused about whether to watch it or not. I don't know anything about it.	n't [23]	0	No
88	39240	Does working out stop the height growth at the age of 19?		I am 17 yrs old male and I am working out at the gym daily. Is it true that it will stunt my height growth? 'Cos if it is I'm totally gonna stop it.	na [35]	0	No
89	30682	What would most likely happen if cats and dogs grow to develop opposable thumbs?		Why do dogs kill cats even when they don't eat them?	n't [9]	0	No
90	13217	Why are we not all using virtual computers in the cloud?	not [3]	What is cloud computing and how do we use it?		0	No
91	14938	Is it okay to always like being alone and doing things alone?		Is it okay not to have any friends at all and be alone?	not [3]	0	No
92	1327	I want to live the rest of my life alone and without working. Is jail an appropriate option?	without [11]	I am feeling lonely and depressed. I am living alone, go to work alone, and rent a house alone. What should I do about this situation?		0	No
93	7097	How did Pakistan occupy Kashmir?		Why can't Pakistan occupy Kashmir?	n't [2]	0	No
94	15928	Why was Michael Collins in the space module orbiting the moon while Neil and Buzz were stepping onto the moon?		Why didn't Michael Collins step on the Moon?	n't [2]	1	No
95	16212	How can I prevent charging my phone, when it is connected to a PC via USB, for reverse tethering?		My Galaxy A5 phone screen doesn't work, can I connect my laptop to it using a USB cable, depsite that it's not unlocked? Can I unlock it via PC?	n't [6] | not [25] | unlocked [26]	0	No
96	37145	How much loss have Flipkart faced due to non-delivery/cancellation, non-payment or theft of orders from Uttar Pradesh?	non [8] | non [14]	Why doesn't Flipkart sell orders worth Rs 10000 to Uttar Pradesh even if the mode of payment is netbanking or debit card pre-payment?	n't [2]	0	No
97	22385	Are tea leaves edible? If so why aren't they eaten more often? If not, what harmful effects do they have and how come those effects are not present in teas?	n't [9] | not [16] | not [30]	What are the harmful effects of chai/tea latte?		0	No
98	1903	Don’t Eat Burgers That Are Pink In The Middle?	n’t [1]	Do children cause bad karma?		0	No
99	23382	How do I change non replaceable batteries in smartphones?	non [4] | replaceable [5]	How do I replace Xperia ZL battery?		0	No
100	20838	Are there any male-only spaces which have been targeted by activism or protests with the goal of making them inclusive to trans men or non-binary people?	non [26]	Which are the countries where girls search for males or boyfriends actively as other countries men do?		0	No
101	20022	Why did the ancient Romans persecute Jews and Christians, but not many other religions? Is it because they were offended by the idea of a one true god that rejected their many gods?	not [11]	What was the status of black people in the Roman Empire?		0	No
102	19236	How do the non-Confucians perceive, understand, view, and opine about Confucianism?	non [3]	How do the Confucians perceive, feel, understand, view, believe, and/or opine, about other religions?		0	No
103	23827	Which is more preferable Conversion-focused landing pages OR SEO-focused landing pages?		Why will Theresa May not trigger Article 50 to start the proceedings for the UK to leave the EU until early next year?	not [4]	0	No
104	28456	Hypothetical Scenarios: What will be the fate of our World and Universe in the future and how would it occur?		Alternate Histories (Hypothetical Historical Scenarios): How different would the world be if World War I and World War II had not happened?	not [23]	0	No
105	12880	Why is pulse code modulation more preferred rather than delta modulation?		Why do we prefer pulse code modulation rather than delta modulation?	rather [7]	1	No
106	29519	Where can I find porn that surrounds a great story and not just pointless sex?	not [11]	What would motivate a woman to become a prostitute or porn star?		0	No
107	3277	What are the ways to commit suicide?		What are some painless ways to commit suicide?	painless [3]	1	No
108	18196	What are some career paths that I can choose?		What strikes first time visitors as special or unusual when they arrive in Beira, Manica, Mozambique?	unusual [8]	0	No
109	22904	Why do Hindus worship the snake and what does sarpa dosha mean?		Why do some Hindus, who worship snakes like cobras, don't have cobras as their pets in their home nor worship live snakes at their pooja room but just worship stone statues of snakes?	n't [12] | nor [21]	0	No
110	38747	What is your most unforgettable moment while making TV show?	unforgettable [4]	When it comes to a complete medical checkup, what should I ask for to get a comprehensive readout of my physical and mental state?		0	No
111	33437	Why can't I add more hashtags to my post on Instagram?	n't [2]	How do I add more comments on Instagram?		0	No
112	1939	Why aren't there bounty hunters today?	n't [2]	What is it like to be a bounty hunter?		0	No
113	3604	[READ DESCRIPTION] I always get pissed off, when I see, that something changes in my world (YouTube, etc.) — how can I deal more easily with that?		How can I motivate myself when I know that something is beneficial if I do it, but still unable to do it? (Please read description!)	unable [19]	0	No
114	2860	What can you say about Filipino people?		What do you not know about Filipinos?	not [3]	0	Yes
115	7893	What is the best browser for Mac OSX 10.6.8 now that Google are no longer going to support it?	no [13]	What is the best upgrade browser to use on a Mac 10.6.8?		0	No
116	30668	Why is it important to activate neural pathways?	neural [6]	Has the sales tax amnesty scheme been extended till Nov 30 2016?		0	No
117	12734	Does political system hampering India's development?		For a small developing country does buying cheap goods from other country and not using own's country product hamper the country's economy?	not [13]	0	No
118	30998	Does the Heisenberg uncertainty principle state that it is impossible to find momentum and position or that it is impossible for us now to find them?	impossible [9] | impossible [19]	Is Heisenberg's Uncertainty Principle a fundamental truth of the Universe, or are we just incapable of measuring both position and momentum?	incapable [16]	0	No
119	35520	What is best buy and how did they get started?		How do I get the best of an economic crises, what to buy and not to buy?	not [15]	0	No
120	22375	How can I buy a new car without being ripped off from dealers?	without [7]	How do you avoid getting ripped off when you buy a used car?		0	No
121	15234	My questions haven't changed. Why are they now being marked as needing improvement?	n't [3]	Why does quora mark my questions as needing improvement?		1	No
122	12410	Has anyone ever gotten excited to do something but can't get themselves to actually do it?	n't [10]	What is Freud’s explanation of love ?		0	No
123	14297	What are the differences between sourcing, merchandising, purchasing, buyer, and procurement jobs?		Why does every college in Delhi NCR not offer the logistics and supply chain management as an MBA in finance and marketing. Can anyone explain?	not [7]	0	No
124	4909	Can an atheist not be humanist?	not [3]	How can I be an atheist?		0	No
125	40201	Is it unnatural for a male to like a transsexual feminine “girl” in a sexual way?	unnatural [2]	Does being attracted to trans women, or porn (shemale, tr**ny, trap, futanari, etc) involving women with penises, make a man gay?		0	No
126	27389	Should I remove the fat from the top of the cold chicken soup? Is the soup any different in taste or nutrients without that fat?	without [23]	Why can chicken in chicken soup still taste dry?		0	No
127	29625	Why did Fred Wilson invest in Twitter?		Why didn't Fred Wilson make any investments in 2012?	n't [2]	0	No
128	9995	I have loved her for 4 years. She got married, and I am unable to forget her. She knows that I love her. How do I forget her?	unable [15]	What should a person do if he really loves a girl and he knows she will not respond but he can't forget her?	not [16] | n't [21]	0	No
129	18293	At what age is it accepted to use miniskirts?		How can you look at someone's private Instagram account without following them?	without [10]	0	No
130	7479	How would the effects of 9/11 be different if the Twin Towers had fallen sideways?		9/11 (terrorist attack): Would the people on the upper floors of the World Trade Centre have eventually been rescued if the towers didn't collapse?	n't [26]	0	No
131	19684	How do I commit suicide with no pain?	no [6]	What are ways to commit suicide?		1	No
132	37690	Is the U.S housing market safe to invest in?		What mean you if a fiit JEE centre not score more than 125 in mid phasetest?	not [8]	0	No
133	10015	Why is Narendra Modi and BJP not so popular in South India?	not [6]	Why is Narendra Modi so popular among Indians?		0	No
134	28771	Is the Google host matching process different for Hardware Engineering interns for Summer 2016?		I applied a little late to the Google summer internship for this summer and passed the technical interview, but I haven't been host-matched. Is it possible for me to push for an internship with them next summer?	n't [22]	0	No
135	12673	How do I change a number on my Yahoo account if I don't have the password?	n't [13]	How do I access my Yahoo account which has been compromised?		1	No
136	12742	Is there gravity without mass?	without [3]	Why do objects with mass warp space-time?		0	No
137	7514	What do vehicle tyre numbers & sizes mean?		Why are the tyres of the car black? Why can't it be any other?	n't [11]	0	No
138	1633	How much money deposite in a saving account?		How much money can we deposit in a savings account without any tax?	without [10]	0	No
139	8021	Your parents want to give you a birthday gift. Do you prefer cash or a gift?		If you have a spiritual gift or gifts aren't you obligated to just ""give it away” and help others?	n't [10]	0	No
140	36372	What are examples of well-known companies that started out as crowdfunding projects?		Soon, I'll be seeing a girl I have a big crush on for the last time. We are friendly, but not great friends. Should I tell her how I feel?	not [24]	0	No
141	30754	Does Quora ever combine questions?		Why doesn't Quora use Machine Learning for automatically merging questions?	n't [2]	1	No
142	35162	Some people say reading makes us boring. Is it true? If yes, why? Why do they say so?		Can I pursue MS in networking if I haven't taken any prerequisite courses in my BTech?	n't [9]	0	No
143	34214	How does the top of a commercial solar tower not melt when all the mirrors are pointing light at it?	not [9]	In China, how many years will it take to get payback on a solar panel array if you can use all the electricity you produce instead of buying at commercial prices from grid?		0	No
144	6724	When will Leonardo DiCaprio win an Oscar?		Why hasn't Leonardo DiCaprio won an Oscar yet?	n't [2]	0	No
145	1683	Why do people say Quora isn't a dating site when it has clearly brought couples together?	n't [6]	It makes me happy to see people in love regardless of how they met. However, why do others seem bitter when Quora brings couples together?		0	No
146	30755	Are you happy with who you are?		Are you happy now? If no, why not?	no [6]	0	No
147	12610	What TV series isn't worth finishing?	n't [4]	What TV series are worth watching?		0	No
148	35860	In speed control of whether dc or ac motor, Is there any difference between counter current braking and plugging?		How can you troubleshoot a Toshiba Regza that will not display a picture?	not [9]	0	No
149	39285	Can I have the lyrics of the song electric sung by alice jemima?		Why don't babies cry in a mothers womb?	n't [2]	0	No
150	21396	What are the sign on engine?		What are the signs that you shouldn't do engineering?	n't [7]	0	No
151	5242	Should you answer ""unknown"" phone calls? Why or why not?	unknown [6]	What happens when you're on a Whatsapp call and answer a phone call?		0	No
152	28046	What are some of the things you think people are doing wrong?		Human Behavior: What are some things most people do wrong and don’t realize it?	n’t [13]	0	No
153	2959	Am I just being insecure in this relationship?		How can I get over the insecurity of not being in a relationship?	not [8]	0	No
154	40237	Iltutmish's son Nasiruddin Mahmud was said to succeed him but he died.Who was his wife? Anything you know about his personal life rather than warlife?	rather [26]	How can my son (he is in his late 20s) find his person, someone to love who also loves him?		0	No
155	851	What are some of the best campaigns on Instagram?		How can you look at someone's private Instagram account without following them?	without [10]	0	No
156	7803	When is she less likely to get pregnant?		How does it feel for a man to get a woman pregnant when she cannot keep the child?	not [15]	0	No
157	5771	Does saying ""I apologize"" mean as much as saying ""I'm sorry""? Why or why not?	not [25]	Do parents ever say sorry to their child?		0	No
158	13663	Imagine that we go inside a black hole then it is said that as our speed increases time decreases and after that time comes to past, is that true?		Although I read that IQ is a constant value and can not increase after the age of 10 years, but why every new IQ test giving new results, with the same person? If it is, then how can we trust, on anyone's IQ is constant or not? or Is it can be increase or decrease by the time?	not [11]	0	No
159	12120	Could the RPK be belt-fed?		Why don't assault rifles use 100 round beta mags or are belt fed?	n't [2]	0	No
160	33498	Why is every other question on Quora asking some silly thing or the other about Swami Vivekananda?		Every time I answer a question on Quora, it asks me to edit the bio, and my answer is not shown with others. Why is this?	not [21]	0	No
161	25626	Why can't I delete some pictures from my messenger shared content?	n't [2]	How do you delete a picture from instagram on your computer?		0	No
162	18403	How do you turn things like base metals, straw, leaves, rocks, dirt, and wood into gold, so that you can sell the gold?		When and how do you know you are not successful so that you can move on to the next thing?	not [8]	0	No
163	9626	How can you integrate both body building and marathon training into your workout regimen without one being detrimental to the other?	without [14]	Health: Is Tai Chi able to build one’s body up?		0	No
164	18575	Vaginaplasty: Who are the best surgeons in North America that perform it, and what criteria is the most important to consider when making my choice?		How can you look at someone's private Instagram account without following them?	without [10]	0	No
165	13332	How accurate are the ""Eat This, Not That"" series of books?	Not [10]	Was Star Wars a book series before it was a film series?		0	No
166	7822	What are the reasons behind nuclear energy being non-renewable?	non [8] | - [9]	Is nuclear energy considered a renewable or nonrenewable resource? What are the reasons behind this classification?		1	No
167	37524	How can kangaroos jump so high? How high can they jump		Why can't kangaroos jump backwards?	n't [2]	0	No
168	22782	Why does airbnb disable accounts?		Why does Airbnb disable accounts without any explanation?	without [5]	1	No
169	37166	If Quora doesn't understand my question and marks it as needing improvement, can others still see it?	n't [3]	What should I do if Quora marks my question as ""Needs Improvement""?		1	No
170	5608	I am an Indian, I want to move to Greenland. I will go on a tourist visa and will never come back, what would you advise?	never [21]	Do Indians need a tourist visa for Kosovo?		0	No
171	14316	What are some good and non-cliched topics for slam poetry?	non [5] | - [6]	What are some topics to write poetry about?		0	No
172	1248	How will you know you love someone?		How do you know if you have fallen in love with someone and not just like them?	not [13]	1	No
173	24952	Which is the most used computer language?		Which is the most used programming language which will not have an end?	not [9]	1	No
174	23717	Why can't I see my credits on Quora?	n't [2]	How do I check my Quora credit?		0	No
175	2741	If there are no invading forces at our borders, how can we justify our $670 billion military expenses?	no [3]	Our society started near 5000 BC if you believe in the Vedic period. Earth is not like it was before. How many lives can we expect on earth provided that there are no wars and no migration?	not [16] | no [34] | no [37]	0	No
176	5313	Concatinate two columns in teradata with null values in one of the column?	null [6]	What is process engineering for dehydration using infrared for making dried vegetables, spices, fruits?		0	No
177	5527	How do I respond to not being invited to a wedding?	not [5]	Is it inappropriate to ask to be invited to a wedding?		0	No
178	33046	What does it feel like to regret not having kids?	not [7]	How does it feel to be average to poor at looks and to have a goodlooking kid?		0	No
179	27923	My son plays Minecraft on the computer. The other day he was playing online and someone asked him ""d or t."" What does this mean?		Hey guys, I've been playing Minecraft a time, and about a month ago no skins showed up, and they still aren’t. Can anyone here help me?	no [16] | n’t [25]	0	No
180	7213	Why weren't chemical or biological weapons widely used during the war? (excluding use against civilians e.g. during the Holocaust)	n't [2]	What if Germany had used its entire arsenal of Tabun and other chemical weapons during the Battle of Britain?		0	No
181	26464	Could Donald Trump be a plant?		Did Hillary Clinton use Donald Trump as a way to have no relevant Political opponent?	no [11]	1	No
182	5491	Why is Epic Meal Time considered unhealthy?	unhealthy [6]	Can we see only upto 3rd dimension? Then how we know about 5D , 7D etc?		0	No
183	35055	Is witchcraft actually real and possible to do and how do I find spells that work?		I found out my boyfriend had romantic / sexual talks online (and possibly actual encounters) about a year ago. He said it was just to have fun and never had a real encounter with anyone, and stopped it long ago. I forgave him, but wonder if he's doing it again. How can I get over this?	never [31]	0	No
184	18981	Why doesn't Google X use Satellites instead of Balloons for its broadband supply project ""Project Loon""?	n't [3]	Why did Google use weather balloon instead of satellites?		1	No
185	22080	Should I do/not do CFA?	not [4]	Should I do CFA?		0	No
186	30157	What is the best way to get coins in Pokémon GO without spending real money?	without [11]	Is there any way to Get Free Coins for Pokemon Go?		1	No
187	7801	Why did French tanks in WW2 have no reverse gears?	no [7]	Was using an anti-tank gun on an infantry in WW2 a war crime?		0	No
188	1058	Someone on snapchat added me by snap code and I don't know who they are. How did they do that?	n't [11]	If someone adds you on snapchat, and you don't add them back, how will you know if they have un added you?	n't [10] | un [22]	0	No
189	7054	What scenes in Furious 7 were filmed with Caleb and Cody standing in for their late brother Paul Walker?		How can you look at someone's private Instagram account without following them?	without [10]	0	No
190	9417	Vegetables: Is broccoli that is turning yellow safe to eat?		How can eat more vegetables when I don't like many vegetables?	n't [8]	0	No
191	6331	What is the value of a Antonius Stradivarius Cremonensis Faciebat Anno 1713?		How do professional violinists deal with knowing that they will in all likelihood never play a Stradivarius or a Guarneri?	never [13]	0	No
192	18515	I'm Scorpio my libra friend is a pathological liar should I unfriend him?		Is it ok that I don't want to hang out with my family?	n't [6]	0	No
193	39596	How can we look into private instagram account without following them?	without [8]	How do I see a private Instagram account?		0	No
194	33800	Was World War II Inevitable?	Inevitable [4]	What was World War II about?		0	No
195	21586	When a US President is elected, does he need to or actually go through a security background check?		Why don't I ever hear about the president elect having to go through top security checks?	n't [2]	0	No
196	8874	Why is salt water taffy candy unknown in Japan?	unknown [6]	Why is saltwater Taffy candy imported in Canada?		1	No
197	36389	Which is better - a fly ash brick or a normal red brick?		Why are fly ash bricks not so common in the Indian construction industry?	not [5]	0	No
198	38025	What's the most effective way online to completely learn Java programming?		What is the most effective way to learn Java for someone with no programming experience?	no [12]	1	No
199	23054	Why do human knees bend forward and birds' knees backward?		How important is it that my knees make noises whenever I bend them, but there is no pain?	no [17]	0	No
200	9029	I just saw ""Bourbon"" (brand KOVAL), label says ""distilled in Chicago"". But isn't it law that whiskey labeled ""Bourbon"" has to be made in Kentucky?		Why doesn't Uber partner with Tesla?	n't [2]	0	No
201	35994	Why are the left and right sides of the human heart divided into ventricles and atria?		The function of the atria is merely pumping blood recieved from the vena cava and pulmo vein to the ventricles. Why couldn't we have evolved a heart with no atria and the Sinoatrial Node being on the ventricles, which would increase ventricular contraction and decrease energy required for a heartbeat?	n't [23] | no [30]	0	No
202	23796	Why am I unable to cry, I try my best to cry but I can't & I can't even feel the pain of others, advice me?	unable [3] | n't [16] | n't [20]	I know I’m the best husband, mate, and lover out there. I'm not the best in other people's eyes, but I feel like the best. Why can't I find a girl?	not [17] | n't [35]	0	No
203	27057	Do cars with bigger wheels travelled fast than those with smaller?		While going uphill  , one should prefer a car with bigger wheels or smaller wheels or it does not depend at all?	does [18]	0	No
204	4552	Why do many Americans say 'I could care less.' when they mean the opposite?		Diction and Word Usage: Why do so many people say they ""could care less"" when they really mean ""couldn't care less""?	less [17] | n't [27]	1	No
205	6031	Do the Japanese have shame for the military crimes committed by their army in the 20th century (like the Nanking incident, for instance) like the Germans have shame for theirs during World War II?		Why don't Japanese history books and school books tell of their war crimes in World War II?	n't [2]	0	No
206	11791	What would have happened if John Lennon hadn't been shot?	n't [8]	What if John Lennon were still alive?		0	No
207	30859	Why is the sign on new Rs 2000 and 500 notes that of Urjit Patel and not of Raghuram Rajan?	not [16]	When Rs 2000 notes printing was started in August-September, how could Mr. Urgit Patel sign on it? He was in the RBI government since 6th of August 2016.		1	No
208	29140	Are Charisma and likability learnable skills?		Are likability and empathy tied together? Is it possible to be likable if you don't care about others, or do you have to take caring?	n't [16]	0	No
209	39924	Why is prostitution legal in India?		Why should prostitution not be legalized in India?	not [3]	0	No
210	38164	What should I do if I feel like everyone hates me? Am I going into a depression? What can I do not to hate myself?	not [23]	I hate everything about myself. I feel worthless, pointless and I don't want to be seen. I'm starting to feel like I'm going to lose my two best friends and no one really likes me. What should I do?	worthless [8] | pointless [10] | n't [14] | no [36]	0	No
211	14465	Why there was no mathematicians during Roman empire period?	no [3]	How many modern day soldiers would be needed to defeat those of the Roman Empire during its prime?		0	No
212	10185	Can’t delete my Quora account, what should I do?	n’t [1]	How do I delete Quora Account with all answers and questions also removed?		1	No
213	32038	Can I keep my male litter with its mother? Will they try to mate? If yes, should I allow that?		What can you do if a 5 week old puppy is separated from the litter and will not stop whining? What can be done to help him?	not [17]	0	No
214	28576	How should one improve one's presence of mind?		I feel numb at important situations, I am unable to think smartly. How can I improve by presence of mind?	unable [9]	1	No
215	39075	How do you approach a girl if she's in a pack and never seems to leave the pack of girls?	never [13]	Jamie typed 20 pages of a document in two hours. How many pages did she type in 1 minute?		0	No
216	33514	I always feel that time heals nothing. We just get along with our pain, but it still feels like it was yesterday. How about you?	nothing [6]	One of my classmates always looks at me. One day, I told her I love you and she said she was in love with someone. But still she looks at me always. Does it mean she just lied and that she has feelings for me?		0	No
217	31086	How can I lose weight fast and never gain it again?	never [7]	Is there a technique to lose weight fast?		1	No
218	35748	I decided not to go to an exam as I was not well-prepared, but now I have to wait another 6 months for this exam as my future depends on it. How should I use these 6 months?	not [2] | not [11]	I am a final year EC student. I am not well-prepared for GATE. After my exams, I get 1 month to prepare. How should I go about with my preparation?	not [10]	0	No
219	4094	How far is it true that new 500 and 2000 rupees notes have Nano GPS chip in it?		Is there a remote possibility that Rs 2000 notes come with a GPS chip and government is not revealing it so that they can find stacks of them later?	not [17]	1	No
220	29784	Is there a way to play Netflix in my tablet browser without the Netflix app?	without [11]	How does Netflix come to know that I have already used a free trial?		0	No
221	31620	Is botox a bacteria? How many infections could it cause?		What could cause Botox not to work?	not [4]	0	No
222	20978	Why do people continue to support Donald Trump even though he's so inconsistent?	inconsistent [13]	I like Donald Trump however he has admitted to some deplorable behaviour so why do people still support him? What would turn supporters against him?		1	No
223	38078	Would the NBA thrive in the Prairie Provinces in Canada? If not, why?		How do you belt musical notes without straining the throat?	without [6]	0	No
224	3975	Why are most karaoke tracks recreations rather than the actual instrumental tracks from the original recording?	rather than [6, 7]	Are there any free software programs available to make a karaoke track from a normal MP3 track?		0	No
225	11990	How can an iPod Touch 4g volume button that is stuck be fixed?		Why are the volume buttons on my iPod touch not working? How can I fix them?	not [9]	1	No
226	36134	Hashtags working but only showing recent posts and not all pics that should've in the hashtag album? Shows I have 25 posts, I can see only recent pics	not [8]	Value education for marketing and enterprenuership?		0	No
227	35281	Is it bad I'm self teaching things I shouldn’t be learning yet? Will I eventually forget it all?	n’t [10]	Should I max out my 401k or buy & rent out property? I already have a Roth Index Fund that I max every year. I have 17k saved at the end of the year.		0	No
228	18168	Why doesn't Quora filter out basic questions that can be answered with a quick Google search?	n't [2]	Would Quora be better if there were a filter to reject questions that are trivially answered via a Google search?		1	No
229	28032	What are the differences between chromosomes, chromatids and chromatin?		Are genes that do not have a 9:3:3:1 ratio on the same chromosome or on different chromosomes?	not [4]	0	No
230	35376	What's the quickest and most painless way to commit suicide?	painless [6]	What is the least painful way for suicide?		1	No
231	8810	Which countries weren't involved/affected during World War I & II?	n't [3]	How is World War II history taught in African countries?		0	No
232	30824	Why do Muslims accept Uniform criminal code but not Uniform civil code?	not [8]	Why do some educated Muslims oppose uniform civil code in India?		0	No
