index	dev_index	text	cues	judgment	is_important
52	775	not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .	not [0]	0	No
53	864	dull , lifeless , and amateurishly assembled .	lifeless [2]	0	No
54	560	do n't be fooled by the impressive cast list - eye see you is pure junk .	n't [1]	0	No
55	298	serving sara does n't serve up a whole lot of laughs .	n't [3]	0	Yes
56	515	if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter .	n't [12]	0	Yes
57	8	you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	n't [2]	1	No
58	230	reign of fire looks as if it was made without much thought -- and is best watched that way .	without [9]	1	No
59	111	there is n't nearly enough fun here , despite the presence of some appealing ingredients .	n't [2]	0	Yes
60	699	... routine , harmless diversion and little else .	harmless [3]	1	Yes
61	503	dragonfly has no atmosphere , no tension -- nothing but costner , flailing away .	no [2] | no [5]	0	No
62	665	and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .	not [4]	1	No

