index	dev_index	question	cues	choices	judgment	is_important	
132	NA	Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?	could [22]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['closed room', 'sky', 'dard', 'his grave', 'house']}	A	No	
133	NA	James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['exhilaration', 'interactions', 'head injuries', 'death', 'having fun']}	C	No	
134	NA	There's some new buying products designed to get you money if you have none. The first step is that it will show you how to declare what?	none [14]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tax return', 'bankruptcy', 'pleasure', 'debt', 'spending money']}	B	Yes	
135	NA	Where would you get a balalaika if you do not have one?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['orchestra', 'music store', 'buy music', 'make music', 'symphony']}	B	No	
136	NA	If the wood texture is not smooth it is what?	not [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gilded', 'porous', 'solid', 'painted', 'less dense than water']}	B	Yes	
137	NA	What would not be true about a basketball if it had a hole in it but it did not lose its general shape?	not [2] | not [18]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['punctured', 'popular in america', 'full of air', 'gone', 'round']}	C	Yes	
138	NA	Where is a ferret unlikely to be?	unlikely [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['classroom', 'outdoors', 'aquarium', 'north carolina', 'great britain']}	A	Yes	
139	NA	Where is a good idea but not required to have a fire extinguisher?	not [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['school bus', 'boat', 'house', 'hospital', 'school']}	C	Yes	
140	NA	What would a person do if they do not have any friends?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['talk to people', 'try again', 'fall asleep', 'stand alone', 'thank god']}	D	Yes	
141	NA	James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?	did [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['relaxation', 'panic', 'alarm', 'joy', 'cheer']}	A	No	
142	NA	The man didn't do great in college, all his best memories were late night with his brothers at the what?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['big city', 'fraternity house', 'school', 'building', 'big town']}	B	No	
143	NA	Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?	he [19]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['stand up', 'produce', 'construct', 'make', 'build']}	C	No	
144	NA	The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?	could [19]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['accelerate', 'putting together', 'working', 'construct', 'train']}	A	No	
145	NA	Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?	n't [2] | n't [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['serious', 'longplay', 'musical', 'eat cake', 'doing nothing']}	C	Yes	
146	NA	The child felt like it was all pretend, he didn't understand what?	n't [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['people believe', 'daydreams', 'transcendentalism', 'laughter', 'religion']}	E	No	
147	NA	What is a person called who doesn't have immortality?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mortal', 'dying', 'death', 'dead', 'mortal']}	E	Yes	
148	NA	The janitor never had much to clean after services, but there was still always a paper or two to pick up where?	never [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['synagogue', 'front porch', 'classroom', 'obesity', 'grocery store']}	A	Yes	
149	NA	John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?	neither [18]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['internet cafe', 'sporting event', 'pressing wrong buttons', 'obesity', 'hockey game']}	B	No	
150	NA	How can a human cross a river and not mess up their hair?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['wisconsin', 'waterfall', 'hatred', 'bridge', 'valley']}	D	No	
151	NA	Where would you use a folding chair but not store one?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['beach', 'city hall', 'closet', 'garage', 'school']}	A	No	
152	NA	What is likely to be found in a book that is not a foreword?	not [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['last word', 'conclusion', 'ikea instructions', 'afterword', 'epilogue']}	E	Yes	
153	NA	Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?	not [6] | was [32] | could [51]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['brothel', 'restaurant', 'building', 'bowling alley', 'at hotel']}	E	No	
154	NA	What can happen to you when you are using television and it is not interesting?	not [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['turn off', 'functions', 'turning off', 'entertainment', 'fall asleep']}	E	Yes	
155	NA	Christine couldn't be having a baby at her age, she thought to herself. What was Christine?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['old person', 'begin to talk', 'adult', 'old man', 'girl']}	A	Yes	
156	NA	Where in your home would you keep a ballpoint pen when not in use?	not [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backpack', 'bank', 'desk drawer', 'eat cake', 'office desk']}	C	Yes	
157	NA	If you spend a long time shopping in uncomfortable shoes, you might develop what?	uncomfortable [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tiredness', 'calluses', 'bankruptcy', 'standing in line', 'sleepyness']}	B	Yes	
158	NA	Where would a person live that isn't in the metro area but still has good schools?	n't [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['woods', 'bed', 'suburbs', 'rural', 'neighborhood']}	C	Yes	
159	NA	The table wasn't level.  some parts were higher and some were lower with no rhyme or reason.   It was very what?	n't [3] | with [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['electrical circuit', 'build evenly', 'uneven', 'unbalanced', 'tilted']}	C	Yes	
160	NA	Where would stones not be arranged in a path?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['quarries', 'field', 'park', 'bridge', 'made from rocks']}	B	Yes	
161	NA	Where can you go to use a piano in your neighborhood if you don't have one?	n't [14]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['music school', 'music store', "neighbor's house", 'lunch', 'drawing room']}	C	no	
162	NA	James is carrying a duffel bag with him because he doesn't have a vehicle of his own and needs a bag to carry his things in while he uses what?	n't [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['library', 'transit', 'bus station', 'army barracks', 'locker room']}	B	Yes	
163	NA	If it's not used for hair a round brush is an example of what?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['hair brush', 'ladies bathroom', 'art supplies', 'shower', 'hair salon']}	C	Yes	
164	NA	The person wasn't bothered by the weather, she had remembered to bring her what?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['read book', 'own house', 'apartment', 'more rice', 'warm coat']}	E	no	
165	NA	Why would a band be performing when there are no people nearby?	no [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['record album', 'play music', 'hold concert', 'blaring', 'practice']}	A	Yes	
166	NA	John was not happy with his marriage. He and his wife drifted apart.     All and all, recent turns could be described as what?	not [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['inappropriate', 'sadness', 'unsatisfied', 'unfortunate', 'disenchanted']}	D	Yes	
167	NA	What would you be unable to do if you have too much greed?	unable [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['keep things', 'make friends', 'play poker', 'conquer opponent', 'lie']}	B	Yes	
168	NA	Where can you put a picture frame when it's not hung vertically?	not [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['art show', 'wall', 'newspaper', 'car', 'table']}	E	Yes	
169	NA	Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?	did [24]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['arizona', 'farm yard', 'michigan', 'german field', 'dairy farm']}	C	No	
170	NA	The surgeon's clients had begun to reduce, it seemed girls no longer want to what?	no [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['reduction', 'make larger', 'augment', 'gain weight', 'expand']}	C	Yes	
171	NA	Because of his anger he couldn't clearly explain or what?	n't [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cool off', 'write letter', 'get mad', 'illustrate point', 'destroy enemy']}	D	Yes	
172	NA	Where do you keep musical instrument so it doesn't get scratched?	n't [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['bank', 'orchestra', 'case', 'music room', 'movie']}	C	Yes	
173	NA	He had no issue committing perjury, he had a what that he would get away with it?	no [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['confidence', 'go to jail', 'telling lies', 'lying', 'manual']}	A	Yes	
174	NA	John was my neighbor, it was easy to talk to him. He was never what?	never [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['away', 'distant', 'remote person', 'bore', 'foe']}	B	Yes	
175	NA	If you were looking for a blowfish, you wouldn't look on dry land, you'd look in a what?	n't [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['fish market', 'jungle', 'sea water', 'body of water', 'soup']}	D	No	
176	NA	James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?	n't [2]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ground', 'subway', 'bank', 'bed', 'street']}	D	No	
177	NA	James decided that competing was the right choice.   Not competing has a defined outcome, but if he competes then what could happen?	Not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['might win', 'perform better', 'enemies', 'winners and losers', 'lose']}	A	No	
178	NA	The electrode wouldn't spark, it turned out that the what hadn't been connected?	n't [3] | n't [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['battery', 'electronic equipment', 'electrolytic cell', 'charge', 'tube']}	A	No	
179	NA	Danny is having fun just dancing and singing with his friends. He wasn't concerned with things that weren't fun. For him having fun is the same as what?	n't [14] | n't [20]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['injuries', 'smiling', 'being happy', 'glee', 'jump']}	C	No	
180	NA	Where would you get a pen if you do not have one?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['briefcase', 'desk drawer', "friend's house", 'pocket', 'sidewalk']}	C	No	
181	NA	Where are you likely to find a Japanese restaurant not run by people from Japan?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['california', 'downtown', 'large town', 'tokio', 'china town']}	A	Yes	
182	NA	How could you have fun by yourself with no one around you?	no [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['fairgrounds', 'watching television', 'tired', 'enjoyable', "friend's house"]}	B	Yes	
183	NA	If while driving to work another car makes a careless maneuver, what emotion might you feel?	careless [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['boredom', 'happiness', 'transportation cost', 'getting there', 'road rage']}	E	No	
184	NA	If I want to watch a movie without leaving my home what might I use?	without [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['drive in movie', 'drive in movie', 'television', 'video store', 'show']}	C	Yes	
