index	dev_index	text_a	cues	text_b	cues	judgment	is_important
182	674	Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus.	n't [13]	I'll address just the first of your three sub-questions, the others have been answered by Chuck Sherrington.		0	No
183	821	Most of the literature I can find about infant sleeping has to do primarily with waking habits, not eating habits.	not [18]	In my experience, babies tend to wake up by themselves when they get hungry.		2.599999905	Yes
184	645	The short answer is: we are made from the "stuff" contributed by many stars.		It is highly unlikely that we're made out of stuff from only one star.	unlikely [3]	3.200000048	Yes
185	730	I think it is still feasible to store seeds until the next year.		I haven't tried storing tomato seeds myself, but I have tried to store pepper seeds (and they are closely related).	n't [2]	1.5	No
186	1055	Who will succeed Mr. O'Neill at Hyundai is not clear.	not [8]	There is no clear successor for Mr. O'Neill at Hyundai.	no [2]	5	No
187	1117	I've still got a fighting chance, though," Hewitt said after battling to overcome Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.		I'm still not red-hot favourite," Hewitt said after battling to down Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.	not [4]	3.75	No
188	870	I have found there is no single best way to increase size.	no [5]	There are a very wide variety of solutions for resizing and sharpening images for use on the web.		2.599999905	No
189	932	We have two parallel worlds in collision or maybe more.		Our intrepid heroes also didn't pursue the child who was in the spacesuit.	n't [5]	0	No
190	882	Federal DOMA does not test the full faith and credit clause so much as the 9th and 10th Amendments to the Constitution.	not [3]	DOMA as a congressional statute could not violate the Full Faith and Credit Clause of the Constitution.	not [6]	4	No
191	811	You will be hard pressed to find scientific studies that answer these questions with any certainty.		The topics you mention are very broad and not closely related in the scientific world.	not [8]	2.200000048	No
192	1170	Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.		Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.	never [10]	1.75	No
193	1141	I'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it".	not [3] | not [12] | not [18]	I'm not going to be sponsoring it because it's not our proposal, but I'm not responding to it in a negative way," he said.	not [3] | not [12] | not [19]	4.400000095	No
194	1105	At first blush, then, the distinction drawn by the creators of the do-not-call registry would seem to draw the line in precisely the right place.	not [16]	At first blush, then, the creators of the registry would seem to have drawn the line between exempted and banned calls in the right place.		4	No
195	774	The reason for this is that Russian is a much more tonal language than English.		Although I am quite fluent in Russian, I wouldn't say English sound particularly 'cold' to me.	n't [10]	1.600000024	No
196	935	According to canon, Leia was an expert in combat, especially shooting (this is from EU books).		In real-world combat, most fire is used to suppress the enemy, not kill them.	not [15]	0.6000000238	No
197	681	I've never adjusted the length of time based on number of eggs.	never [2]	I don't boil eggs enough to keep a feel for the timing...	n't [2]	3	No
198	1204	From the start, however, the United States' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government.	not [13]	But the United States' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government.	not [8]	4.800000191	No
199	780	Zipf’s law, as I understand it, is not really about languages, but about statistics and probability.	not [10]	As with all natural laws, Zipf's law is an approximation.		2.799999952	No
200	1434	Fatah endorses refusal to recognise Israel	refusal [2]	Pakistan Denounces Latest Drone Attack		0.200000003	No
201	804	Yes, twins can develop their own language, but it's not a given.	not [12]	Here's what I saw with my fraternal twins: While learning to speak, all children develop some of their own dialect.		2.599999905	No
202	824	Turtles love eating goldfish and lots of things that fit into their mouths.		First, the turtles are eating the fish because fish are food, not friends.	not [13]	2.799999952	No
203	988	Your worry is a valid one; the reader could be frustrated by this.		I don't believe not knowing a character's name would be confusing unless you make it so.	n't [2] | not [4]	1.399999976	No
204	844	The biggest reason I can think of is that you're taking away a defence mechanism for the cat.		Cats don't usually like to have their paws held, touched, or anything like that.	n't [2]	1.600000024	No
205	1376	No radiation leak at Iran's nuclear plant	No [0]	US Congress may throw wrench into Iran nuclear deal		0.8000000119	No
206	635	The academic year does start around September in the USA and I think most European countries.		I would not accelerate things, to avoid getting worse grades that you want.	not [2]	0.200000003	No
207	225	The dog could not figure out how to get a stick out the doggy door.	not [3]	A dog is trying to get through his dog door.		2.75	No
208	740	So you know, I do not have personal experience with this.	not [6]	Since you've already accepted a nicely sourced answer, I'll contribute some unsubstatiated tradition (i.e.	unsubstatiated [14]	0.200000003	No
209	834	My guess is that means your cat only marginally likes the food you're feeding him.		Some researchers believe domestic cats never really mentally grow up completely and they always look at you like their mom.	never [5]	0.6000000238	No
210	854	I once met a physicists who held the strong AI position.		Although I believe Searle is mistaken, I don't think you have found the problem.	n't [9]	0.200000003	No
211	763	There were indeed some serious issues surrounding Kennedy's election in 1960, one of the closest elections in History.		As per your original question: The  Wikipedia section does not claim that Joseph P Kennedy bought John F Kennedy's victory.	does [10]	1.600000024	No
212	1184	Roy Moore, the suspended chief justice of the Alabama Supreme Court, stood accused but unrepentant Wednesday in the same courtroom he recently presided over.	unrepentant [16]	Moore, the suspended chief justice of the Alabama Supreme Court, stands trial before the Alabama Court of the Judiciary.		3.799999952	No
213	1145	They came despite what BA called a "difficult quarter", which it said included unofficial industrial action at Heathrow.	unofficial [16]	BA said the second quarter, which included unofficial industrial action at Heathrow, had been difficult.	unofficial [8]	3.599999905	No
214	945	We only used Fartlek as a fitness measurement, and as a bit of fun.		Fartlek is not more effective than any proper interval training - just more fun!	not [2]	2.599999905	No
215	738	Just about anything can be grown indoors without natural sunlight.	without [7]	We have quite a few people here who have grown peppers and small tomatoes indoors and in pots.		2	No
216	952	There is NO good reason for the failure to implement video plays in professional soccer.	NO [2] | failure [7]	There is another problem with applying instant replays beyond just interrupting the flow of the game.		2.599999905	No
217	878	For what it's worth, dirt on the lens might not be as detrimental as you would think.	not [11]	Regular dish washing fluid is great for removing grease, as it not only dissolves it but also binds it.		0.400000006	No
218	1445	International forensic teams join Kenyan mall carnage probe		Arrested Briton 'not significant' to Kenya attack probe	not [3]	1	No
219	805	Whatever you do, don't bite him back to show him that it hurts.	n't [5]	We always lightly bopped our kids on the mouth, therefore showing him that his mouth is what hurt you.		1.600000024	No
220	828	Cats (and all animals in general) do not understand the concepts of order or tidiness.	not [9]	They don't intend to leave those items around the house or untidy the house.	n't [2]	1.799999952	No
221	893	Russian Federal Law is actually quite specific on this one and not as arbitrary as argued.	not [11]	The last round of presidential elections in Russia was held on March 4th, 2012 and December 4th, 2011 for the Duma.		0.6000000238	No
222	747	The point of aerating your pile is to get oxygen to the microbes that break down the organic matter.		Your pile will compost without turning it, but it goes faster if you turn it.	without [4]	2.400000095	No
223	1032	Freeman's civil hearing may be, on the surface, about a driver's license.		Freeman said not having a driver license has been a burden.	not [2]	1.75	No
224	983	I've started my own tool since I didn't like yWriter and Storybook.	n't [9]	I've tried many of the things mentioned above, but they never really worked for me.	never [12]	1.600000024	No
225	650	We are moving "... relative to the comoving cosmic rest frame ... at some 371 km/s towards the constellation Leo".		There is no 'still' that is not relative to some other object.	no [2] | not [8]	0.8000000119	No
