index	dev_index	premise	cues	hypothesis	cues	judgment	is_important
29	526	What might the Amazon forest become if it passes the tipping point and starts to die?		Scientists at the Brazilian National Institute of Amazonian Research argue in the article that this drought response, coupled with the effects of deforestation on regional climate, are pushing the rainforest towards a "tipping point" where it would irreversibly start to die.	irreversibly [41]	not_entailment	No
30	2355	What are free-to-air encrypted broadcasts known as?		Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services.	unencrypted [9] | not [16]	entailment	No
31	796	What is the oldest known rock in the world?		The sedimentary sequences of the mid-continental United States and the Grand Canyon in the southwestern United States contain almost-undeformed stacks of sedimentary rocks that have remained in place since Cambrian time.	undeformed [22]	not_entailment	No
32	1730	Where was the language Luther used in his translations spoken?		He intended his vigorous, direct language to make the Bible accessible to everyday Germans, "for we are removing impediments and difficulties so that other people may read it without hindrance.	without [31]	not_entailment	No
33	445	How many Victorians are Buddhist?		Buddhism is the state's largest non-Christian religion, with 168,637 members as of the most recent census.	non [6]	entailment	No
34	4070	What are the most powerful class of anti-inflammatory drugs?		Glucocorticoids are the most powerful of these drugs; however, these drugs can have many undesirable side effects, such as central obesity, hyperglycemia, osteoporosis, and their use must be tightly controlled.	undesirable [16]	entailment	No
35	1855	What parts of plants have chloroplasts?		Not all cells in a multicellular plant contain chloroplasts.	Not [0]	not_entailment	Yes
36	4143	On what date was oxygen liquefied in a stable form?		Only a few drops of the liquid were produced in either case so no meaningful analysis could be conducted.	no [13]	not_entailment	No
37	3951	What is the English translation of tawhid?		Maududi also believed that Muslim society could not be Islamic without Sharia, and Islam required the establishment of an Islamic state.	not [7]	not_entailment	No
38	542	Goldenson proposed a merger between UPT and what network in October 1954?		Despite the promise of non-interference between ABC and UPT, Goldenson had to intervene in ABC's decisions because of financial problems and the FCC's long period of indecision.	non [4] | - [5]	not_entailment	No
39	4609	What is the law of thermodynamics associated with closed system heat exchange?		In macroscopic closed systems, nonconservative forces act to change the internal energies of the system, and are often associated with the transfer of heat.	nonconservative [5]	not_entailment	No
40	5321	Why did the demand for rentals decrease?		Through gentrification of older neighbourhoods, for example, in East New York, rental prices increased rapidly as landlords found new residents willing to pay higher market rate for housing and left lower income families without rental units.	without [36]	not_entailment	No
41	36	Who was the mayor of San Francisco during Super Bowl 50?		San Francisco mayor Ed Lee said of the highly visible homeless presence in this area "they are going to have to leave".	homeless [10]	entailment	No
42	2711	In Antigone, who was the target of civil disobedience?		She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.	not [2] | not [34]	not_entailment	No
43	756	What was the dual mission AS-258 a combination of?		In December 1966, the AS-205 mission was canceled, since the validation of the CSM would be accomplished on the 14-day first flight, and AS-205 would have been devoted to space experiments and contribute no new engineering knowledge about the spacecraft.	no [36]	not_entailment	No
44	984	How many volumes does the John Crerar Library roughly hold?		Harper Memorial Library no longer contains any volumes; however it is, in addition to the Regenstein Library, a 24-hour study space on campus.	no [3]	not_entailment	No
45	3546	What are examples of clinical services that pharmacists can provide?		Such services include the thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual.	non [12]	entailment	No
46	1606	What had Bhutto planned on banning within six months, before he was overthrown?		In Pakistan this Islamization from above was "probably" more complete "than under any other regime except those in Iran and Sudan," but Zia-ul-Haq was also criticized by many Islamists for imposing "symbols" rather than substance, and using Islamization to legitimize his means of seizing power.	rather [43]	not_entailment	No
47	5004	How many yards was the McManus field goal?		Despite Denver's excellent field position, they could not get the ball into the end zone, so McManus kicked a 33-yard field goal that increased their lead to 13–7.	not [9]	entailment	No
48	1719	What were the "great Forces" mentioned in the article's title?		Tesla believed that the League of Nations was not a remedy for the times and issues.[citation needed]	not [8]	not_entailment	No
49	1480	From what pad was Apollo 5 launched from?		Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1.	unmanned [8]	entailment	No
50	1335	When was Thoreau's essay published?		The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.	not [17]	entailment	No
51	662	By sunlight, what compound did  Priestley concentrate on to make the gas he called "dephlogisticated air"?		After breathing the gas himself, he wrote: "The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards.	not [18]	not_entailment	No
52	814	What was the purpose of CSNET		Its purpose was to extend networking benefits, for computer science departments at academic and research institutions that could not be directly connected to ARPANET, due to funding or authorization limitations.	not [19]	entailment	No
53	838	What was incorporated to help slow the CM's decent back to Earth?		It was the only component of the Apollo spacecraft to survive without major configuration changes as the program evolved from the early Apollo study designs.	without [11]	not_entailment	No
54	4440	Which measure must be adopted when there is a choice between several?		The principle of proportionality is also recognised in Article 5 of the EC Treaty, stating that "any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty".	not [24]	not_entailment	No
55	4552	Who did BSkyB team up with because it was not part of the consortium?	not [9]	While BSkyB had been excluded from being a part of the ONdigital consortium, thereby making them a competitor by default, BSkyB was able to join ITV Digital's free-to-air replacement, Freeview, in which it holds an equal stake with the BBC, ITV, Channel 4 and National Grid Wireless.		entailment	No
56	3396	Where is corporal punishment usually performed these days?		30 US states have banned corporal punishment, the others (mostly in the South) have not.	not [17]	not_entailment	No
57	3953	Who created the photographic series titled Animal Locomotion?		One of the more unusual collections is that of Eadweard Muybridge's photographs of Animal Locomotion of 1887, this consists of 781 plates.	unusual [4]	entailment	No
58	2377	In what year was the Corliss engine patented?		When Corliss was given the Rumford medal the committee said that "no one invention since Watt's time has so enhanced the efficiency of the steam engine".	no [12]	not_entailment	No
59	4687	On which date was Genghis Khan's palace rediscovered by archeaologists?		Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	impossible [13]	not_entailment	No
60	2523	What can the exhaust steam not fully do when the exhaust event is insufficiently long?	not [5]	The simplest valve gears give events of fixed length during the engine cycle and often make the engine rotate in only one direction.		not_entailment	No
61	2442	What is an example of a controlled substance?		There are many instances where a practitioner issues a prescription, brokered by an Internet server, for a controlled substance to a "patient" s/he has never met.[citation needed]	never [30]	not_entailment	No
62	2477	What type of steam engine doesn't need valves to direct steam?	n't [6]	Instead of valves, the entire cylinder rocks, or oscillates, such that one or more holes in the cylinder line up with holes in a fixed port face or in the pivot mounting (trunnion).		not_entailment	No
63	3519	What kind of disorders are the result of an overactive immune response?		Here, the immune system fails to properly distinguish between self and non-self, and attacks part of the body.	non [12]	not_entailment	No
64	363	What kind of needlework was used in the creation of the Bayeux Tapestry?		By far the most famous work of Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery.	not [16]	entailment	No
65	2650	What was Kublai Khan's relation to Genghis Khan?		While Genghis Khan never conquered all of China, his grandson Kublai Khan completed that conquest and established the Yuan dynasty that is often credited with re-uniting China.	never [3]	entailment	No
66	3049	Who is the author of the book, "Knowledge and Decisions"?		Thomas Sowell, in his book Knowledge and Decisions, claims that this difference is due to women not taking jobs due to marriage or pregnancy, but income studies show that that does not explain the entire difference.	not [18] | not [34]	entailment	No
67	4744	What position did the tax collector that arrested Thoreau get?		The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.	not [17]	entailment	No
68	3618	Which conjecture holds that for any positive integer n, there is an infinite amount of pairs of consecutive primes differing by 2n?	infinite [13]	These conjectures are special cases of the broad Schinzel's hypothesis H. Brocard's conjecture says that there are always at least four primes between the squares of consecutive primes greater than 2.		not_entailment	No
69	3789	What is usually the goal of taking a plea bargain?		Sometimes the prosecution proposes a plea bargain to civil disobedients, as in the case of the Camden 28, in which the defendants were offered an opportunity to plead guilty to one misdemeanor count and receive no jail time.	no [37]	entailment	No
70	3287	How high do plague fevers run?		In cases of pneumonic and particularly septicemic plague, the progress of the disease is so rapid that there would often be no time for the development of the enlarged lymph nodes that were noted as buboes.	no [22]	not_entailment	No
71	1968	What was the only region in Europe not conquered by the Germanic tribes?	not [7]	Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.		entailment	Yes
72	3867	What would income differentials be if individual contributions were relevant to the social product?		Socialists attribute the vast disparities in wealth to the private ownership of the means of production by a class of owners, creating a situation where a small portion of the population lives off unearned property income by virtue of ownership titles in capital equipment, financial assets and corporate stock.	unearned [34]	not_entailment	No
73	1629	The Muslim Brotherhood's competence compares well against what type of local governments?		All this compares very favourably against incompetent, inefficient, or neglectful governments whose commitment to social justice is limited to rhetoric.	neglectful [12]	entailment	No
74	4037	By when did the Germanic tribes conquer the Celtic peoples?		However, there was no real systemic continuity from the Western Roman Empire to its German successor which was famously described as "not holy, not Roman, and not an empire", as a great number of small states and principalities existed in the loosely autonomous confederation.	no [4] | not [23] | not [26] | not [30]	not_entailment	No
75	4229	What do unstable 6-carbon molecules become?	unstable [2]	The ATP and NADPH made in the light reactions is used to convert the 3-PGA into glyceraldehyde-3-phosphate, or G3P sugar molecules.		not_entailment	No
76	10	Who decides the fate of protesters most of the time?		Brownlee argues, "Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.	not [39]	not_entailment	No
77	5013	What country has such unmanageable students that many teachers do not discipline them?	unmanageable [4] | not [10]	In Japan, for example, although average attainment on standardized tests may exceed those in Western countries, classroom discipline and behavior is highly problematic.		entailment	Yes
78	5065	What was Brisbane's job?		In an interview with newspaper editor Arthur Brisbane, Tesla said that he did not believe in telepathy, stating,	not [14]	entailment	No
79	3241	What was published in February of 2007?		In a report, published in early February 2007 by the Ear Institute at the University College London, and Widex, a Danish hearing aid manufacturer, Newcastle was named as the noisiest city in the whole of the UK, with an average level of 80.4 decibels.	noisiest [33]	entailment	No
80	1782	There is a public database of epitopes for pathogens known to be recognizable by what cells?		In some cases, the drug itself is not immunogenic, but may be co-administered with an immunogenic compound, as is sometimes the case for Taxol.	not [8]	not_entailment	No
81	3840	How many hundred of years was Scotland directly governed by the parliament of Great Britain?		One of the principal objectives of the commission was to examine ways of enabling more self-government for Scotland, within the unitary state of the United Kingdom.	unitary [23]	not_entailment	No
82	5266	What is unique about  a hermaphrodite?		Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.	not [23]	entailment	No
83	4272	What did Genghis Khan do to the Tangut imperial family after their surrender?		Not happy with their betrayal and resistance, Genghis Khan ordered the entire imperial family to be executed, effectively ending the Tangut lineage.	Not [0]	entailment	No
84	3258	What dilemma is a good example of moral civil disobedience?		But Stephen Eilmann argues that if it is necessary to disobey rules that conflict with morality, we might ask why disobedience should take the form of public civil disobedience rather than simply covert lawbreaking.	rather than [30, 31]	not_entailment	No
85	2013	What did the Mongol elites wish Buyantu didn't do?	n't [8]	He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.		entailment	Yes
86	3995	What was the name of the 50th Anniversary show?		He is shown in mini-episode "The Night of the Doctor" to have been retroactively inserted into the show's fictional chronology between McGann and Eccleston's Doctors, although his introduction was written so as not to disturb the established numerical naming of the Doctors.	not [39]	not_entailment	No
87	18	What did he light at his laboratories to demonstrate his wireless power transmission?	wireless [10]	He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission.	wirelessly [4] | wireless [13]	entailment	No
88	582	What is one method of achieving aspirational consumption?		If the state does not provide these services, then for those on lower incomes, the costs must be borrowed and often those on lower incomes are those who are worse equipped to manage their finances.	not [4]	not_entailment	No
89	469	At first, what did oxygen and iron combine to form?		Free oxygen gas was almost nonexistent in Earth's atmosphere before photosynthetic archaea and bacteria evolved, probably about 3.5 billion years ago.	nonexistent [5]	not_entailment	No
90	1903	Who missed a field goal for the Panthers?		But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.	no [16]	entailment	No
91	2400	What is the main goal of criminal punishment of civil disobedients?		Brownlee argues, "Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.	not [39]	not_entailment	No
92	4605	What happens if a member doesn't vote the party line?	n't [6]	The outcome of most votes can be predicted beforehand since political parties normally instruct members which way to vote.		not_entailment	No
93	2412	When did Archbishop Albrecht send Luther's letter containing the 95 Theses to Rome?		Archbishop Albrecht of Mainz and Magdeburg did not reply to Luther's letter containing the 95 Theses.	not [7]	not_entailment	No
94	1080	How are 'un-aided' schools different from 'aided' schools?	un [3]	The ones that accept government funds are called 'aided' schools.		not_entailment	No
95	539	How many fumbles did Von Miller force in Super Bowl 50?		The Broncos took an early lead in Super Bowl 50 and never trailed.	never [11]	not_entailment	No
96	3172	How much retail activity does the neighborhood have?		Due to its position on the edge of the city and years of neglect by developers, is not a true "inner-city" neighborhood, and there are many vacant lots, strawberry fields and vineyards throughout the neighborhood.	not [18]	not_entailment	No
97	599	What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?		Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers.	not [6]	not_entailment	No
98	1198	Why did Westinghouse not secure a patent for a similar motor?	not [3]	Westinghouse looked into getting a patent on a similar commutator-less, rotating magnetic field-based induction motor presented in a paper in March 1888 by the Italian physicist Galileo Ferraris, but decided Tesla's patent would probably control the market.		entailment	Yes
99	1009	What has lately been being viewed as a fundamental status of member state nationals by the Court of Justice?		In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid "structural, staffing and financial problems" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.	not [10] | little [44]	not_entailment	No
100	5204	From whom were the movement that Eliot followed derived?		While Eliot was the most crucial figure in the secularization of American higher education, he was motivated not by a desire to secularize education, but by Transcendentalist Unitarian convictions.	not [18]	not_entailment	No
101	3998	What would a Probationer need to do to earn more money, after 6 years?		For the salary year beginning April 2008, unpromoted teachers in Scotland earned from £20,427 for a Probationer, up to £32,583 after 6 years teaching, but could then go on to earn up to £39,942 as they complete the modules to earn Chartered Teacher Status (requiring at least 6 years at up to two modules per year.)	unpromoted [8]	entailment	No
102	4791	What was the goal of this Roman disobedience?		Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?]	Unarmed [0]	entailment	No
103	1562	Which group did not agree to sign these agreements?	not [3]	Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach.		not_entailment	No
104	273	When was the Russian Policy "Indigenization" defunded?		Never formally revoked, it stopped being implemented after 1932.	Never [0]	entailment	No
105	3762	Where was the location of the 2003 Rose revolution?		It has been used in many nonviolent resistance movements in India (Gandhi's campaigns for independence from the British Empire), in Czechoslovakia's Velvet Revolution and in East Germany to oust their communist governments, In South Africa in the fight against apartheid, in the American Civil Rights Movement, in the Singing Revolution to bring independence to the Baltic countries from the Soviet Union, recently with the 2003 Rose Revolution in Georgia and the 2004 Orange Revolution in Ukraine, among other various movements worldwide.	nonviolent [6]	entailment	no
106	906	What is the minimum amount of time before a bill can go into law?		However he cannot do so until a 4-week period has elapsed, during which the Law Officers of the Scottish Government or UK Government can refer the bill to the Supreme Court of the United Kingdom for a ruling on whether it is within the powers of the Parliament.	not [3]	entailment	No
107	2215	Some have generalized the meaning of the word imperialism down to general-purpose what?		The definition of imperialism has not been finalized for centuries and was confusedly seen to represent the policies of major powers, or simply, general-purpose aggressiveness.	not [5]	entailment	No
108	1932	To promote accessibility of the works, what did Luther remove?		He intended his vigorous, direct language to make the Bible accessible to everyday Germans, "for we are removing impediments and difficulties so that other people may read it without hindrance.	without [31]	entailment	No
109	4293	Boycotting, refusing to pay taxes, sit ins, and draft dodging all make what harder?		Brownlee notes that "although civil disobedients are constrained in their use of coercion by their conscientious aim to engage in moral dialogue, nevertheless they may find it necessary to employ limited coercion in order to get their issue onto the table.	nevertheless [24]	not_entailment	No
110	3711	What second part of air was deemed lifeless by Lavoisier?	lifeless [7]	In that work, he proved that air is a mixture of two gases; 'vital air', which is essential to combustion and respiration, and azote (Gk. ἄζωτον "lifeless"), which did not support either.	lifeless [35] | not [41]	entailment	No
111	4080	What could anyone do to Martin Luther without legal consequence?	without [7]	It also made it a crime for anyone in Germany to give Luther food or shelter.		not_entailment	No
112	2614	Intractable problems lacking polynomial time solutions necessarily negate the practical efficacy of what type of algorithm?		In complexity theory, problems that lack polynomial-time solutions are considered to be intractable for more than the smallest inputs.	intractable [15]	not_entailment	No
113	2683	Classification of resources is contingent on determining the upper and lower bounds of minimum time required by what?		To show a lower bound of T(n) for a problem requires showing that no algorithm can have time complexity lower than T(n).	no [14]	not_entailment	No
114	5208	What is the basic unit of organization within the UMC?		In many ways, the United Methodist Church operates in a connectional organization of the Annual Conferences, and actions taken by one conference are not binding upon another.	not [25]	not_entailment	No
115	701	What two other rulers had their graves hidden under a river?		Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	impossible [13]	entailment	No
116	2161	How many vector equations did Heaviside and Gibbs reformilate Maxwell's 20 scalar equtions into?		The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later reformulated into 4 vector equations by Oliver Heaviside and Josiah Willard Gibbs.	not [8]	entailment	No
117	801	When did Mechlin lace develop?		The implication that the style of lace known as 'Bucks Point' demonstrates a Huguenot influence, being a "combination of Mechlin patterns on Lille ground", is fallacious: what is now known as Mechlin lace did not develop until first half of the eighteenth century and lace with Mechlin patterns and Lille ground did not appear until the end of the 18th century, when it was widely copied throughout Europe.	not [41] | not [59]	entailment	No
118	5128	After cancelling the show, what did the BBC tell the public?		it was effectively, if not formally, cancelled with the decision not to commission a planned 27th series of the show for transmission in 1990, the BBC repeatedly affirmed that the series would return.	not [5] | not [12]	entailment	No
119	869	What was the definition of professionals, for this study?		It is important to note, however, that the British study referenced above is the only one of its kind and consisted of "a random ... probability sample of 2,869 young people between the ages of 18 and 24 in a computer-assisted study" and that the questions referred to "sexual abuse with a professional," not necessarily a teacher.	not [62]	not_entailment	No
120	1619	Southern California's economy can be described as one of the largest in the United States and what other characteristic?		It is dominated and heavily dependent upon abundance of petroleum, as opposed to other regions where automobiles not nearly as dominant, the vast majority of transport runs on this fuel.	not [18]	not_entailment	No
121	4530	Other theories of the word's origin can be generally classed as what?		Some disagree with such double or triple non-French linguistic origins, arguing that for the word to have spread into common use in France, it must have originated in the French language.	non [7]	entailment	No
122	4107	How much capital did UK law require to start a company?		By contrast, in Centros Ltd v Erhversus-og Selkabssyrelsen the Court of Justice found that a UK limited company operating in Denmark could not be required to comply with Denmark's minimum share capital rules.	not [25]	not_entailment	No
123	1216	What was the civil disobedience performed at the test site?		When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest.	Non [4] | - [5]	entailment	No
124	5024	What Doctor Who story from 1970 is available on Blu-ray?		Only the series from 2009 onwards are available on Blu-ray, except for the 1970 story Spearhead from Space, released in July 2013.	except [13]	entailment	No
125	2687	How could human inequality be addressed without resulting in an increase of environmental damage?	without [6]	The smaller the economic inequality, the more waste and pollution is created, resulting in many cases, in more environmental degradation.		not_entailment	No
126	909	Interest groups and government agencies that were concerned with energy were no match for who?	no [11]	In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973.		not_entailment	No
127	1571	Who did Tesla refuse to see following the accident?		Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab.	n't [2]	not_entailment	No
128	40	When people take on debt, it leads potentially to what?		If the state does not provide these services, then for those on lower incomes, the costs must be borrowed and often those on lower incomes are those who are worse equipped to manage their finances.	not [4]	not_entailment	No
129	3576	What educational study did Luther start to pursue and immediately  drop?		For Luther, reason could be used to question men and institutions, but not God.	not [14]	not_entailment	No
130	355	Who won the MVP for the Super Bowl?		The Broncos took an early lead in Super Bowl 50 and never trailed.	never [11]	not_entailment	No
131	2921	How do students rate teachers that they feel are enthusiastic?		Students who had enthusiastic teachers tend to rate them higher than teachers who didn't show much enthusiasm for the course materials.	n't [14]	entailment	No
132	2898	What principle relates to the formation of faults and the age of the sequences through which they cut?		Faults are younger than the rocks they cut; accordingly, if a fault is found that penetrates some formations but not those on top of it, then the formations that were cut are older than the fault, and the ones that are not cut must be younger than the fault.	not [21] | not [45]	not_entailment	No
133	153	What has given the American economy a tendency to go "from bubble to bubble"?		To compensate for stagnating and declining purchasing power, political pressure has developed to extend easier credit to the lower and middle income earners – particularly to buy homes – and easier credit in general to keep unemployment rates low.	unemployment [37]	entailment	No
134	5222	How do ctenophores control buoyancy?		It is uncertain how ctenophores control their buoyancy, but experiments have shown that some species rely on osmotic pressure to adapt to water of different densities.	uncertain [2]	entailment	No
135	3203	What is another word for diatom?		The diatom endosymbiont's nucleus is present, but it probably can't be called a nucleomorph because it shows no sign of genome reduction, and might have even been expanded.	n't [12] | no [20]	not_entailment	No
136	697	What team did Justin Tucker play for?		Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	not [81]	entailment	No
137	4223	What is the current main judicial body of the EU?		Today the Court of Justice of the European Union (CJEU) is the main judicial body, within which there is a higher European Court of Justice (commonly abbreviated as ECJ) that deals with cases that contain more public importance, and a General Court that deals with issues of detail but without general importance.	without [55]	entailment	No
138	4980	In what venue did the NFL Experience take place?		San Francisco mayor Ed Lee said of the highly visible homeless presence in this area "they are going to have to leave".	homeless [10]	not_entailment	No
139	3723	What is it called when there is an active attempt to overthrow a government or belief system?		Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...revolution doesn't have to be political, i.e. "cultural revolution", it simply implies sweeping and widespread change to a section of the social fabric).	n't [30]	entailment	No
140	4195	With which museum does the V&A co-owns Canova's The Three Graces?		The collection of Italian, Medieval, Renaissance, Baroque and Neoclassical sculpture (both original and in cast form) is unequalled outside of Italy.	unequalled [22]	not_entailment	No
141	3368	Higher rates of health and social problems are just two of examples of effects from what?		Effects of inequality researchers have found include higher rates of health and social problems, and lower rates of social goods, a lower level of economic utility in society from resources devoted on high-end consumption, and even a lower level of economic growth when human capital is neglected for high-end consumption.	neglected [51]	entailment	No
142	589	What remote control vehicle did he make?		He also built a wireless controlled boat, one of the first ever exhibited.	wireless [4]	entailment	Yes
143	3045	What sea bordered Genghis Khan's empire to the east when he died?		Contrary to popular belief, Genghis Khan did not conquer all the areas ultimately part of the Mongol Empire.	not [8]	not_entailment	No
144	5115	What fields of study did Martin Luther prefer?		For Luther, reason could be used to question men and institutions, but not God.	not [14]	not_entailment	No
145	1695	Who was the medical report written for?		The word 'plague' had no special significance at this time, and only the recurrence of outbreaks during the Middle Ages gave it the name that has become the medical term.	no [6]	not_entailment	No
146	1423	When was vetting introduced?		These procedures apply to teaching and also to non-teaching posts and those who refuse vetting "cannot be appointed or engaged by the school in any capacity including in a voluntary role".	non [8] | not [19]	not_entailment	No
147	2342	Which border does the megaregion extend over?		The 8- and 10-county definitions are not used for the greater Southern California Megaregion, one of the 11 megaregions of the United States.	not [6]	not_entailment	No
148	4631	When did Luther introduce the new worship?		Merciful God, what misery I have seen," Luther wrote, "the common people knowing nothing at all of Christian doctrine ... and unfortunately many pastors are well-nigh unskilled and incapable of teaching.	nothing [18] | unfortunately [26] | unskilled [33] | incapable [35]	not_entailment	No
149	690	Who may seek changes or exemptions in the law that governs the land where the building will be built?		Constructing a project that fails to adhere to codes does not benefit the owner.	not [10]	not_entailment	No
150	1207	Which laws mentioned predate EU law?		In European Union law the general principle of legal certainty prohibits Ex post facto laws, i.e. laws should not take effect before they are published.	not [19]	not_entailment	No
151	2997	Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?	not [2]	However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.		entailment	Yes
152	3584	What was the name of the count of Apulia		The Albanian forces could not take part in the ensuing battle because it had started before their arrival.	not [4]	not_entailment	No
153	3243	What kind of marriage was this ?		Not that I am insensible to my flesh or sex (for I am neither wood nor stone); but my mind is averse to wedlock because I daily expect the death of a heretic.	Not [0] | insensible [4] | neither nor [14, 16]	not_entailment	No
154	299	What were the protesters doing with Christ's counsel?		First, in choosing violence over lawful submission to the secular government, they were ignoring Christ's counsel to "Render unto Caesar the things that are Caesar's"; St. Paul had written in his epistle to the Romans 13:1–7 that all authorities are appointed by God and therefore should not be resisted.	not [53]	entailment	No
155	492	What does political pressure push to extend to compensate for stagnating purchasing power?		To compensate for stagnating and declining purchasing power, political pressure has developed to extend easier credit to the lower and middle income earners – particularly to buy homes – and easier credit in general to keep unemployment rates low.	unemployment [37]	entailment	No
156	5345	When was Thoreau's essay published?		Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened.	not [10] | not [22]	not_entailment	No
157	1053	What is a local pastor's official title?		The licensed local pastor has the authority of a pastor only within the context and during the time of the appointment and shall not extend beyond it.	not [23]	not_entailment	No
158	2422	If the apparant force of two fermions is repulsive, what is the spin function?		However, already in quantum mechanics there is one "caveat", namely the particles acting onto each other do not only possess the spatial variable, but also a discrete intrinsic angular momentum-like variable called the "spin", and there is the Pauli principle relating the space and the spin variables.	not [21]	not_entailment	No
159	1757	What is another term for shortening the admission event?		However, as one and the same valve usually controls both steam flows, a short cutoff at admission adversely affects the exhaust and compression periods which should ideally always be kept fairly constant; if the exhaust event is too brief, the totality of the exhaust steam cannot evacuate the cylinder, choking it and giving excessive compression ("kick back").[citation needed]	not [50]	not_entailment	No
160	5250	What was the purpose of the Turks in Luther's mind?		On the other hand, in keeping with his doctrine of the two kingdoms, Luther did support non-religious war against the Turks.	non [18]	not_entailment	No
161	1803	What does Graham Twigg propose about the spread of disease?		Archaeologist Barney Sloane has argued that there is insufficient evidence of the extinction of a large number of rats in the archaeological record of the medieval waterfront in London and that the plague spread too quickly to support the thesis that the Y. pestis was spread from fleas on rats; he argues that transmission must have been person to person.	insufficient [8]	not_entailment	No
162	4047	Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?	not [2]	The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium.		not_entailment	No
163	4954	What type of treaty was the Lisbon Treaty?		Its substance was very similar to the proposed constitutional treaty, but it was formally an amending treaty, and – though it significantly altered the existing treaties – it did not completely replace them.	not [31]	entailment	No
164	675	Who is the general secretary for the National Association of Schoolmasters Union of Women Teachers?		Chris Keates, the general secretary of National Association of Schoolmasters Union of Women Teachers, said that teachers who have sex with pupils over the age of consent should not be placed on the sex offenders register and that prosecution for statutory rape "is a real anomaly in the law that we are concerned about.	not [30]	entailment	No
165	1134	What issues were not addressed in the Treaty of Aix-la-Chapelle?	not [3]	The War of the Austrian Succession (whose North American theater is known as King George's War) formally ended in 1748 with the signing of the Treaty of Aix-la-Chapelle.		not_entailment	No
166	4752	What was the name given to the regions in which the pro - slavery southerners lived?		However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.	never [17]	not_entailment	No
